"b0","b1","logL"
0.04,-0.97,-12.7617379454044
0.05,-0.97,-12.7568028880329
0.0600000000000001,-0.97,-12.7521918639032
0.0700000000000001,-0.97,-12.7479056672459
0.0800000000000001,-0.97,-12.7439450840955
0.0900000000000001,-0.97,-12.740310892248
0.1,-0.97,-12.7370038612183
0.11,-0.97,-12.7340247522005
0.12,-0.97,-12.731374318029
0.13,-0.97,-12.7290533031406
0.14,-0.97,-12.7270624435392
0.15,-0.97,-12.7254024667609
0.16,-0.97,-12.7240740918414
0.17,-0.97,-12.7230780292841
0.18,-0.97,-12.7224149810305
0.19,-0.97,-12.7220856404313
0.2,-0.97,-12.7220906922197
0.21,-0.97,-12.7224308124856
0.22,-0.97,-12.7231066686515
0.23,-0.97,-12.7241189194502
0.24,-0.97,-12.7254682149035
0.25,-0.97,-12.7271551963028
0.26,-0.97,-12.7291804961906
0.27,-0.97,-12.7315447383441
0.28,-0.97,-12.7342485377605
0.29,-0.97,-12.7372925006423
0.3,-0.97,-12.7406772243861
0.31,-0.97,-12.7444032975713
0.32,-0.97,-12.7484712999511
0.33,-0.97,-12.7528818024446
0.34,-0.97,-12.7576353671305
0.35,-0.97,-12.7627325472419
0.36,-0.97,-12.7681738871636
0.37,-0.97,-12.7739599224291
0.38,-0.97,-12.780091179721
0.39,-0.97,-12.7865681768709
0.4,-0.97,-12.7933914228623
0.41,-0.97,-12.8005614178341
0.42,-0.97,-12.8080786530853
0.43,-0.97,-12.815943611082
0.44,-0.97,-12.8241567654645
0.45,-0.97,-12.832718581057
0.46,-0.97,-12.8416295138779
0.47,-0.97,-12.8508900111517
0.48,-0.97,-12.8605005113219
0.49,-0.97,-12.8704614440658
0.5,-0.97,-12.8807732303101
0.51,-0.97,-12.891436282248
0.52,-0.97,-12.9024510033576
0.53,-0.97,-12.9138177884213
0.54,-0.97,-12.9255370235469
0.55,-0.97,-12.9376090861894
0.56,-0.97,-12.9500343451744
0.57,-0.97,-12.9628131607226
0.58,-0.97,-12.9759458844753
0.59,-0.97,-12.9894328595214
0.6,-0.97,-13.0032744204254
0.61,-0.97,-13.0174708932561
0.62,-0.97,-13.0320225956173
0.63,-0.97,-13.0469298366787
0.64,-0.97,-13.0621929172087
0.65,-0.97,-13.0778121296073
0.66,-0.97,-13.093787757941
0.67,-0.97,-13.1101200779781
0.68,-0.97,-13.1268093572251
